Species,Type of dormancy,Fluctuating temperature,Oxygen requirements,Ell_moist
Agrostis.stolonifera,No,No,NA,7
Alisma.lanceolatum,PD,Yes,HY,10
Alisma.plantago.aquatica,PD,Yes,HY,10
Alisma.spec.,NA,NA,NA,NA
Alopecurus.aequalis,No,No,OX,9
Bidens.radiata,NA,NA,NA,9
Bidens.tripartita,PD,NA,NA,9
Callitriche.palustris,NA,NA,NA,11
Carex.bohemica,No,Yes,OX,8
Carex.gracilis,PD,Yes,NA,9
Carex.spec.,NA,NA,NA,NA
Ceratophyllum.demersum,PD,NA,NA,12
Chara.fragilis,NA,NA,NA,NA
Chara.spec.,NA,NA,NA,NA
Chara.vulgaris,No,NA,NA,NA
Chenopodium.rubrum,PD,Yes,NA,6
Cyperus.fuscus,No,Yes,OX,7
Dicotyle.spec.,NA,NA,NA,NA
Elatine.hexandra,No,Yes,OX,9
Eleocharis.acicularis,No,No,both,10
Eleocharis.ovata,No,Yes,OX,8
Eleocharis.palustris,No,No,NA,10
Epilobium.roseum,NA,NA,NA,9
Epilobium.spec.,NA,NA,NA,NA
Euphorbia.platyphyllos,PD,NA,NA,5
Galium.palustre,PD,NA,NA,9
Glyceria.fluitans,PD,NA,NA,9
Gnaphalium.uliginosum,No,No,OX,7
Juncus.articulatus,PD,Yes,NA,9
Juncus.bufonius,No,Yes,OX,7
Juncus.bulbosus,No,No,OX,10
Juncus.effusus,No,Yes,NA,7
Limosella.aquatica,No,No,OX,8
Lindernia.procumbens,No,No,both,8
Lycopus.europaeus,PD,Yes,NA,9
Lythrum.salicaria,No,Yes,NA,8
Mentha.arvensis,PD,Yes,NA,7
Monocotyle.spec.,NA,NA,NA,NA
Myriophyllum.spicatum,PD,No,NA,12
Najas.flexilis,PD,No,HY,12
Nitella.syncarpa,NA,NA,NA,NA
Oenanthe.aquatica,No,Yes,NA,10
Persicaria.hydropiper,No,No,OX,8
Persicaria.lapathifolia,No,Yes,OX,8
Persicaria.minor,PD,NA,NA,8
Phalaris.arundinacea,No,Yes,NA,8
Phragmites.australis,PD,Yes,NA,10
Plantago.intermedia,No,Yes,OX,7
Plantago.major,No,Yes,NA,5
Poa.trivialis,PD,NA,NA,7
Polygonum.persicaria,PD,Yes,NA,5
Potamogeton.berchtoldii,PD,No,both,12
Potamogeton.natans,NA,NA,NA,NA
Potamogeton.obtusifolius,PD,No,both,12
Potamogeton.pectinatus,PD,No,both,12
Ranunculus.aquatilis,NA,NA,NA,11
Ranunculus.repens,MPD,Yes,NA,7
Ranunculus.sceleratus,No,Yes,NA,9
Ranunculus.trichophyllus,NA,NA,NA,12
Rorippa.amphibia,No,Yes,NA,10
Rorippa.palustris,No,Yes,OX,8
Rumex.maritimus,No,Yes,OX,9
Sagittaria.sagittifolia,PD,No,HY,10
Schoenoplectus.lacustris,PD,No,both,11
Schoenoplectus.supinus,PD,No,HY,8
Scutellaria.galericulata,PD,NA,NA,9
Sparganium.erectum,PY,No,OX,10
Stachys.palustris,PD,Yes,NA,7
Typha.angustifolia,PD,NA,NA,10
Typha.latifolia,No,No,HY,10
Typha.spec.,NA,NA,NA,NA
Veronica.catenata,No,No,NA,NA
Veronica.peregrina,No,No,NA,8
Zannichellia.palustris,PD,No,NA,12
